Nama,Latitude,Longitude,Tipe,Deskripsi
Lawang Sewu,-6.9840,110.4105,Wisata Sejarah,Bangunan bersejarah peninggalan Belanda dengan banyak pintu.
Simpang Lima,-6.9929,110.4200,Landmark,Alun-alun tempat berkumpul populer.
Masjid Agung Jawa Tengah,-6.9892,110.4452,Tempat Ibadah,Masjid besar dengan arsitektur megah dan menara pandang Asmaul Husna.
Klenteng Sam Poo Kong,-6.9980,110.4030,Tempat Ibadah,Klenteng bersejarah peninggalan Laksamana Cheng Ho.
Brown Canyon,-7.0375,110.4875,Wisata Alam,Tebing bekas penambangan C yang unik menyerupai Grand Canyon.
Lumpia Gang Lombok,-6.9718,110.4255,Kuliner,Salah satu tempat makan legendaris dan otentik di Semarang.
Kota Lama,-6.9690,110.4250,Wisata Sejarah,Kawasan cagar budaya dengan bangunan-bangunan kuno bergaya Eropa.
Pantai Marina,-6.9585,110.3875,Wisata Alam,Kawasan pantai rekreasi di bagian utara kota.
Kampoeng Kopi Banaran,-7.2780,110.4010,Wisata Alam,Agrowisata kebun kopi dengan pemandangan dan restoran.
Toko Oen,-6.9715,110.4235,Kuliner,Restoran dan toko es krim legendaris sejak zaman kolonial.
Politeknik Negeri Semarang,-7.0528101,110.4341689,Kampus,Institusi pendidikan vokasi negeri di Semarang.
Bandara Ahmad Yani Semarang,-6.970440063001301,110.37276516202631,Transportasi,Bandara internasional utama di kota Semarang.
Java Mall Semarang,-7.006304,110.4325723,Pusat Perbelanjaan,Mall modern dengan berbagai tenant ritel dan hiburan.
